EXP,TRIAL_TYPE,TEXT,COLOR,WAIT,RESPTIME,RT,TRUE_KEY,ANSWER,CORR
training,congruent,ZIELONY,green,1,4,0.8167548350993457,n,n,True
training,incongruent,CZERWONY,green,1,4,0.6000779324476753,n,n,True
training,incongruent,NIEBIESKI,green,1,4,0.6167705498719442,n,n,True
training,incongruent,NIEBIESKI,#8b4513,1,4,0.8500582889810175,m,m,True
training,congruent,ZIELONY,green,1,4,1.0500316700799885,n,n,True
training,congruent,CZERWONY,red,1,4,0.8999523746133491,x,x,True
training,congruent,BRAZOWY,#8b4513,1,4,0.6667127419550525,m,m,True
training,incongruent,NIEBIESKI,green,1,4,0.9215294002569863,n,n,True
training,congruent,ZIELONY,green,1,4,0.6334432832973107,n,n,True
training,congruent,BRAZOWY,#8b4513,1,4,0.6167727948413813,m,m,True
training,congruent,BRAZOWY,#8b4513,1,4,0.48349804447389033,m,m,True
training,incongruent,BRAZOWY,red,1,4,0.8667169111813564,x,x,True
training,congruent,NIEBIESKI,blue,1,4,0.4717838031992869,z,z,True
training,congruent,NIEBIESKI,blue,1,4,0.433446811104659,z,z,True
training,incongruent,NIEBIESKI,green,1,4,0.7500696741735737,n,x,False
training,congruent,ZIELONY,green,1,4,0.7334691004252818,n,n,True
training,incongruent,BRAZOWY,red,1,4,1.4717863688765647,x,x,True
training,incongruent,CZERWONY,green,1,4,1.4666941407940612,n,n,True
training,incongruent,BRAZOWY,blue,1,4,1.1717531754275115,z,z,True
training,congruent,BRAZOWY,#8b4513,1,4,0.716731904356493,m,m,True
training,congruent,CZERWONY,red,1,4,1.1167001541016361,x,x,True
training,incongruent,ZIELONY,blue,1,4,1.066670408279606,z,z,True
training,incongruent,BRAZOWY,blue,1,4,0.7500369617901015,z,z,True
training,congruent,ZIELONY,green,1,4,0.9500504315965372,n,n,True
training,incongruent,ZIELONY,red,1,4,1.4715769454651308,x,x,True
training,congruent,CZERWONY,red,1,4,0.5667068088259839,x,x,True
training,congruent,CZERWONY,red,1,4,0.4334840134251863,x,x,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.7166930984894861,m,m,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.9383108542606351,m,m,True
experiment,incongruent,ZIELONY,red,11,3,0.9215303623859654,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6666049835075682,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.5334517821029294,z,z,True
experiment,congruent,CZERWONY,red,11,3,0.5834055197337875,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5167466570019315,m,m,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.6217460396364913,m,m,True
experiment,incongruent,BRAZOWY,blue,11,3,0.7332458864948421,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.7166979091307439,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.9719141716777813,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5001255578317796,m,m,True
experiment,incongruent,BRAZOWY,red,11,3,0.7167043233239383,x,z,False
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5716736394278996,m,m,True
experiment,incongruent,ZIELONY,red,11,3,1.0165745962694928,x,x,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.5718288629104791,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,0.900053718869458,z,z,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.8714133835346729,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5500587700480537,m,m,True
experiment,incongruent,BRAZOWY,blue,11,3,0.733416504041088,z,z,True
experiment,incongruent,ZIELONY,red,11,3,0.8667027999581478,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.8332903047848959,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.8833524422843766,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.6500332736286509,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5333716046879999,m,m,True
experiment,congruent,ZIELONY,green,11,3,1.3666461946995696,n,n,True
experiment,incongruent,BRAZOWY,red,11,3,1.149993345276016,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.7000822620320832,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5335104719742958,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5215534534800099,m,m,True
experiment,incongruent,ZIELONY,blue,11,3,0.8333352041372564,z,z,True
experiment,incongruent,CZERWONY,green,11,3,0.966689811215474,n,n,True
experiment,congruent,CZERWONY,red,11,3,1.0836189520196058,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.8667813738247787,x,x,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.6500746451747546,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.9998819788415858,n,n,True
experiment,incongruent,BRAZOWY,red,11,3,0.800099419997423,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5167719930650492,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.8834441652506939,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5333975821704371,m,m,True
experiment,incongruent,NIEBIESKI,green,11,3,1.2499729802111688,n,n,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.6001770317379851,m,m,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.7216567219911667,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.4834646906674607,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.8667146662119194,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.43348369271552656,x,x,True
experiment,incongruent,BRAZOWY,red,11,3,0.5335101512646361,x,x,True
experiment,congruent,ZIELONY,green,11,3,1.3000017639024009,n,n,True
experiment,incongruent,ZIELONY,red,11,3,0.9048005426411692,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.7834629267636046,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.583506222566939,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.6334307756224007,m,m,True
experiment,congruent,ZIELONY,green,11,3,1.050038084275002,n,n,True
experiment,congruent,CZERWONY,red,11,3,0.8667005549905298,x,x,True
experiment,incongruent,BRAZOWY,red,11,3,0.7000732821579732,x,x,True
experiment,incongruent,ZIELONY,red,11,3,0.8500752865948016,x,x,True
experiment,incongruent,ZIELONY,blue,11,3,1.2499902985327935,z,z,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.5501177806254418,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,0.771753496137535,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.8000814602528408,n,n,True
experiment,congruent,ZIELONY,green,11,3,0.9333639076539839,n,n,True
experiment,incongruent,NIEBIESKI,green,11,3,1.399990058002004,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,1.1166607068116718,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5717304050413077,m,m,True
experiment,incongruent,BRAZOWY,blue,11,3,0.7715665224022814,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,1.0834043972499785,n,n,True
experiment,congruent,ZIELONY,green,11,3,1.1499301654694136,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6000728010913008,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,0.6667464164711419,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.800089157288312,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.63336567155784,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,1.0999616751942085,x,x,True
experiment,incongruent,ZIELONY,blue,11,3,1.2999860491290747,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.36683284772516345,z,z,True
experiment,incongruent,ZIELONY,red,11,3,0.8166977487780969,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5001194643518829,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.5167258108740498,x,x,True
experiment,incongruent,CZERWONY,green,11,3,1.099981559193111,n,n,True
experiment,incongruent,ZIELONY,red,11,3,1.0500842664660013,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.8000362401944585,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5167007955205918,m,m,True
experiment,congruent,ZIELONY,green,11,3,1.2716051679162774,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,0.5334007892670343,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5168088746759167,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,0.7500388860462408,z,z,True
experiment,incongruent,BRAZOWY,blue,11,3,0.5167280558416678,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.9667446525636478,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.48343582679808605,m,m,True
experiment,incongruent,BRAZOWY,blue,11,3,0.3335197725537,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,0.8167035215519718,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.8666870851811836,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5333956579088408,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.716692136360507,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,0.7334011099774216,z,z,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.621719100025075,m,m,True
experiment,incongruent,CZERWONY,green,11,3,0.9166966262928327,n,n,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.5001701364781184,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,0.7333934129455884,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,1.1832634453530773,x,x,True
experiment,incongruent,NIEBIESKI,green,11,3,0.8000692732894095,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,0.8833960587980982,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,0.5001868133804237,n,z,False
experiment,incongruent,ZIELONY,red,11,3,1.2166797890386079,x,x,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.500234278410062,m,m,True
experiment,congruent,CZERWONY,red,11,3,1.000005772773875,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.6333169236859248,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,0.7167226037745422,z,z,True
experiment,incongruent,ZIELONY,red,11,3,0.7667003946335171,x,x,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.3667318241787143,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6833299926074687,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,0.8881425618637877,n,n,True
experiment,incongruent,ZIELONY,red,11,3,0.8334397554899624,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,0.5000973353853624,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.8500563647248782,n,n,True
experiment,incongruent,BRAZOWY,blue,11,3,0.8500576475635171,z,z,True
experiment,incongruent,CZERWONY,green,11,3,0.7667129023102461,n,n,True
experiment,incongruent,CZERWONY,green,11,3,0.8500098618205811,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,0.7881472121516708,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6167147463893343,z,z,True
experiment,incongruent,BRAZOWY,blue,11,3,0.4668259524660243,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5334177868789993,m,m,True
experiment,incongruent,BRAZOWY,red,11,3,0.9166934191998735,x,x,True
experiment,incongruent,BRAZOWY,red,11,3,0.7666991117912403,x,x,True
experiment,incongruent,NIEBIESKI,green,11,3,0.8834316575739649,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5168149681594514,m,m,True
experiment,incongruent,BRAZOWY,red,11,3,0.5500523558548593,x,x,True
experiment,incongruent,ZIELONY,blue,11,3,0.7715517697579344,z,z,True
experiment,congruent,CZERWONY,red,11,3,0.600088515868265,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5334787217143457,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.8666951029226766,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.5500847475304909,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.4834149806665664,m,m,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.6834489758948621,m,m,True
experiment,incongruent,NIEBIESKI,green,11,3,1.0334856169720297,n,n,True
experiment,incongruent,CZERWONY,green,11,3,0.7999746639361547,n,n,True
experiment,incongruent,CZERWONY,green,11,3,0.7667375969540444,n,n,True
experiment,incongruent,NIEBIESKI,green,11,3,0.7214649376110174,n,n,True
experiment,congruent,ZIELONY,green,11,3,0.7214745589044469,n,n,True
experiment,incongruent,ZIELONY,red,11,3,0.8001080791582353,x,x,True
experiment,incongruent,BRAZOWY,blue,11,3,0.8833591771872307,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.6832408353184292,n,n,True
experiment,incongruent,ZIELONY,red,11,3,0.8334291720711917,x,x,True
experiment,incongruent,ZIELONY,red,11,3,0.7000238928703766,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,0.8999850869986403,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.7167610889373464,n,n,True
experiment,incongruent,ZIELONY,red,11,3,0.68346276641023,x,n,False
experiment,incongruent,ZIELONY,red,11,3,0.8833983037657163,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.9833885221196397,n,n,True
experiment,incongruent,NIEBIESKI,green,11,3,0.7716746015576064,n,n,True
experiment,incongruent,BRAZOWY,red,11,3,0.7167181138429441,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.7334155419121089,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6167102564540983,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,1.5333366473314527,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,0.9000870726740686,z,z,True
experiment,incongruent,ZIELONY,red,11,3,0.8166797890371527,x,x,True
experiment,incongruent,ZIELONY,blue,11,3,0.3834314972154971,z,z,True
experiment,incongruent,BRAZOWY,blue,11,3,0.6834258847993624,z,z,True
experiment,congruent,CZERWONY,red,11,3,0.7002560866676504,x,x,True
experiment,congruent,CZERWONY,red,11,3,0.8665453315079503,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6001026270932925,z,z,True
